,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",7182822,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",24kGoldn,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",4167499,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Astronaut In The Ocean","Masked Wolf",4062741,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Kiss Me More (feat. SZA)","Doja Cat",3967820,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Levitating (feat. DaBaby)","Dua Lipa",3705009,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Leave The Door Open","Bruno Mars",3612778,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"deja vu","Olivia Rodrigo",3361461,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Save Your Tears","The Weeknd",3331728,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fiel,"Los Legendarios",3297963,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"drivers license","Olivia Rodrigo",3115603,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,"Heartbreak Anniversary",Giveon,3111045,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,telepatía,"Kali Uchis",2868383,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Blinding Lights","The Weeknd",2702096,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,DÁKITI,"Bad Bunny",2573375,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"The Business",Tiësto,2475781,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2469415,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,Runaway,AURORA,2461282,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
19,"Hold On","Justin Bieber",2436307,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
20,Up,"Cardi B",2306010,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,"WITHOUT YOU","The Kid LAROI",2008204,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,"Mood (feat. iann dior)",24kGoldn,1975413,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
23,Arcade,"Duncan Laurence",1952738,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
24,Streets,"Doja Cat",1905266,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
25,Bandido,"Myke Towers",1900089,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
26,Am,"Nio Garcia",1874892,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
27,"Heat Waves","Glass Animals",1843418,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Calling My Phone","Lil Tjay",1834673,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
29,"Your Love (9PM)",ATB,1812760,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
30,"Watermelon Sugar","Harry Styles",1779111,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,911,Sech,1774422,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
32,Dynamite,BTS,1722528,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"Someone You Loved","Lewis Capaldi",1688632,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1680691,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
35,"LA NOCHE DE ANOCHE","Bad Bunny",1675695,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
36,"Goosebumps - Remix","Travis Scott",1655855,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
37,"Don't Start Now","Dua Lipa",1604766,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1540331,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
39,"EL MAKINON","KAROL G",1526451,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
40,"We're Good","Dua Lipa",1501233,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
41,"Head & Heart (feat. MNEK)","Joel Corry",1473312,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
42,Anyone,"Justin Bieber",1469147,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
43,"Good Days",SZA,1468209,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Solid (feat. Drake)","Young Stoner Life",1467910,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
45,"Best Friend (feat. Doja Cat)",Saweetie,1465387,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
46,positions,"Ariana Grande",1457075,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
47,"Talking to the Moon","Bruno Mars",1432563,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
48,"Ella No Es Tuya - Remix","Rochy RD",1413590,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
49,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1401804,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
50,"Pareja Del Año","Sebastian Yatra",1397719,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
51,BED,"Joel Corry",1387404,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
52,"Hecha Pa' Mi",Boza,1362953,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
53,"Paradise (feat. Dermot Kennedy)",MEDUZA,1354994,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
54,"Sweater Weather","The Neighbourhood",1328745,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
